	MAIN_TAREADOR	multisort_1	multisort_2	multisort_3	multisort_4	merge_in_sort_1	merge_1	merge_2	merge_in_sort_2	merge_in_sort_3	
THREAD 1.1.197	0.00	0.00	0.00	0.00	0.00	0.00	0.00	34000.00	0.00	0.00	
THREAD 1.1.198	0.00	0.00	0.00	0.00	0.00	0.00	11123000.00	0.00	0.00	0.00	

Total	53000.00	4848977000.00	4935272000.00	4947272000.00	4892782000.00	180000.00	707839000.00	1666000.00	205000.00	175000.00	
Average	53000.00	969795400.00	987054400.00	989454400.00	978556400.00	36000.00	6264061.95	34000.00	41000.00	35000.00	
Maximum	53000.00	1221895000.00	1243874000.00	1243899000.00	1240901000.00	36000.00	11644000.00	34000.00	41000.00	35000.00	
Minimum	53000.00	22000.00	26000.00	26000.00	28000.00	36000.00	31000.00	34000.00	41000.00	35000.00	
Stdev	0.00	484981632.31	493556233.09	494736701.75	489423079.27	0.00	5464206.00	0.00	0.00	0.00	
Avg/Max	1.00	0.79	0.79	0.80	0.79	1.00	0.54	1.00	1.00	1.00	

